"International travellers entering or returning to Canada, by type of transportation and traveller type 1",,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,
Table: 24-10-0053-01,,,,,,,,,,,,,,
Release date: 2025-03-21,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Geography,Canada,,,,,,,,,,,,
Traveller type,Reference period,International travellers entering or returning to Canada,United States of America residents entering Canada,"United States of America residents, air","United States of America residents, land","United States of America residents, water","Residents of countries other than the United States of America, air","Residents of countries other than the United States of America, land","Residents of countries other than the United States of America, water",Canadian-resident visitors returning to Canada,Canadian residents returning from the United States of America,"Canadian residents returning from the United States of America, air","Canadian residents returning from the United States of America, land","Canadian residents returning from the United States of America, water"
,07-Jan,...,"826,123","13,526","812,487",110,0,"3,306",0,"1,715,519","1,715,519","6,991","1,708,528",0
,07-Feb,...,"734,309","13,119","721,105",85,0,"2,777",0,"1,492,048","1,492,048","6,447","1,485,601",0
,07-Mar,...,"890,371","15,189","874,922",260,0,"4,227",0,"1,936,204","1,936,204","8,377","1,927,827",0
,07-Apr,...,"923,116","17,132","904,033","1,951",0,"8,168",0,"1,918,729","1,918,729","4,514","1,914,206",9
,07-May,...,"1,103,154","24,182","1,045,590","33,382",0,"13,038",0,"2,060,490","2,060,490","3,930","2,055,961",599
,07-Jun,...,"1,306,720","33,456","1,205,346","67,918",0,"15,341",0,"2,054,518","2,054,518","2,953","2,049,517","2,048"
,07-Jul,...,"1,547,984","32,682","1,440,032","75,270",0,"19,004",0,"2,329,890","2,329,890","3,345","2,325,895",650
,07-Aug,...,"1,469,394","32,357","1,362,998","74,039",0,"19,235",0,"2,429,622","2,429,622","3,799","2,425,290",533
,07-Sep,...,"1,106,163","24,797","1,030,005","51,361",0,"13,344",0,"2,157,262","2,157,262","3,547","2,153,480",235
,07-Oct,...,"899,180","16,295","876,737","6,148",0,"9,112",0,"2,335,175","2,335,175","4,093","2,331,082",0
,07-Nov,...,"762,365","12,744","749,121",500,0,"5,456",0,"2,328,600","2,328,600","4,347","2,324,253",0
,07-Dec,...,"750,477","12,373","737,940",164,0,"6,224",0,"2,123,121","2,123,121","3,971","2,119,150",0
,08-Jan,...,"659,733","13,502","646,163",68,0,"3,766",0,"1,859,709","1,859,709","6,444","1,853,265",0
,08-Feb,...,"602,527","13,364","589,082",81,0,"3,354",0,"1,718,603","1,718,603","6,382","1,712,221",0
,08-Mar,...,"681,200","14,818","666,272",110,0,"5,059",0,"2,108,775","2,108,775","7,792","2,100,983",0
,08-Apr,...,"712,311","14,471","693,178","4,662",0,"7,497",0,"2,064,853","2,064,853","6,733","2,058,113",7
,08-May,...,"903,538","18,101","846,685","38,752",0,"14,444",0,"2,290,959","2,290,959","5,637","2,284,622",700
,08-Jun,...,"1,037,418","23,824","950,088","63,506",0,"15,124",0,"2,180,499","2,180,499","4,258","2,174,770","1,471"
,08-Jul,...,"1,236,036","29,447","1,141,392","65,197",0,"19,724",0,"2,430,187","2,430,187","3,492","2,425,823",872
,08-Aug,...,"1,256,875","27,403","1,162,138","67,334",0,"22,800",0,"2,644,932","2,644,932","3,813","2,640,132",987
,08-Sep,...,"849,594","20,858","787,752","40,984",0,"15,558",0,"2,031,844","2,031,844","3,243","2,027,936",665
,08-Oct,...,"795,803","15,313","773,413","7,077",0,"9,892",0,"1,946,046","1,946,046","8,006","1,938,040",0
,08-Nov,...,"710,271","11,789","697,988",494,0,"4,577",0,"1,779,335","1,779,335","8,396","1,770,939",0
,08-Dec,...,"656,459","12,346","643,932",181,0,"4,447",0,"1,647,293","1,647,293","8,071","1,639,222",0
,09-Jan,...,"605,608","10,888","594,664",56,0,"3,822",0,"1,445,087","1,445,087","6,380","1,438,707",0
,09-Feb,...,"588,630","10,791","577,748",91,0,"2,587",0,"1,436,300","1,436,300","6,345","1,429,955",0
,09-Mar,...,"677,286","12,101","665,003",182,0,"3,893",0,"1,679,512","1,679,512","7,632","1,671,880",0
,09-Apr,...,"719,315","14,248","703,260","1,807",0,"6,882",0,"1,674,959","1,674,959","4,599","1,670,125",235
,09-May,...,"913,356","17,371","845,016","50,969",0,"10,359",0,"1,901,285","1,901,285","3,754","1,896,915",616
,09-Jun,...,"790,101","23,439","688,433","78,229",0,"11,174",0,"1,599,567","1,599,567","2,935","1,594,669","1,963"
,09-Jul,...,"975,796","25,993","876,400","73,403",0,"16,911",0,"1,871,569","1,871,569","2,497","1,868,937",135
,09-Aug,...,"1,012,562","24,355","914,496","73,711",0,"16,496",0,"2,169,320","2,169,320","3,071","2,165,977",272
,09-Sep,...,"772,933","18,772","704,541","49,620",0,"12,478",0,"1,839,292","1,839,292","2,614","1,836,633",45
,09-Oct,...,"646,682","13,130","631,500","2,052",0,"7,132",0,"1,876,126","1,876,126","6,132","1,869,994",0
,09-Nov,...,"576,159","10,747","565,062",350,0,"4,173",0,"1,872,558","1,872,558","6,301","1,866,257",0
,09-Dec,...,"579,947","11,329","568,527",91,0,"4,282",0,"1,915,099","1,915,099","6,316","1,908,783",0
,10-Jan,...,"591,733","11,431","580,267",35,0,"3,424",0,"1,774,573","1,774,573","6,337","1,768,236",0
,10-Feb,...,"608,812","12,812","595,905",95,0,"2,314",0,"1,607,619","1,607,619","6,055","1,601,564",0
,10-Mar,...,"633,065","14,700","618,189",176,0,"4,491",0,"2,120,970","2,120,970","7,419","2,113,551",0
,10-Apr,...,"675,977","15,414","659,030","1,533",0,"7,090",0,"2,179,414","2,179,414","4,807","2,174,491",116
,10-May,...,"807,821","18,700","763,426","25,695",0,"13,044",0,"2,288,994","2,288,994","4,344","2,283,740",910
,10-Jun,...,"929,325","26,117","855,577","47,631",0,"12,283",0,"2,159,235","2,159,235","3,387","2,153,745","2,103"
,10-Jul,...,"1,133,822","26,076","1,031,310","76,436",0,"19,794",0,"2,562,559","2,562,559","3,043","2,559,418",98
,10-Aug,...,"1,102,284","24,500","1,011,924","65,860",0,"19,705",0,"2,669,602","2,669,602","3,372","2,666,220",10
,10-Sep,...,"843,813","18,976","780,151","44,686",0,"10,950",0,"2,253,684","2,253,684","3,065","2,250,617",2
,10-Oct,...,"736,527","13,601","720,328","2,598",0,"5,998",0,"2,372,835","2,372,835","6,511","2,366,324",0
,10-Nov,...,"615,078","11,368","603,376",334,0,"4,080",0,"2,287,673","2,287,673","6,602","2,281,071",0
,10-Dec,...,"616,457","11,214","605,165",78,0,"3,906",0,"2,469,214","2,469,214","6,332","2,462,882",0
,11-Jan,...,"536,468","11,483","524,937",48,0,"3,144",0,"2,106,507","2,106,507","5,512","2,100,995",0
,11-Feb,...,"502,053","11,465","490,531",57,0,"2,024",0,"1,960,675","1,960,675","5,232","1,955,443",0
,11-Mar,...,"575,122","13,876","561,142",104,0,"3,384",0,"2,485,825","2,485,825","6,656","2,479,169",0
,11-Apr,...,"628,297","14,560","613,065",672,0,"6,529",0,"2,634,262","2,634,262","5,035","2,629,010",217
,11-May,...,"755,750","19,662","713,747","22,341",0,"10,780",0,"2,767,052","2,767,052","4,359","2,761,724",969
,11-Jun,...,"902,312","26,178","826,784","49,350",0,"11,838",0,"2,674,397","2,674,397","3,448","2,669,610","1,339"
,11-Jul,...,"1,146,628","36,619","1,014,701","95,308",0,"19,633",0,"3,034,276","3,034,276","3,532","3,030,645",99
,11-Aug,...,"1,076,752","32,985","961,647","82,120",0,"19,016",0,"3,161,149","3,161,149","3,885","3,157,177",87
,11-Sep,...,"824,197","28,640","741,160","54,397",0,"11,833",0,"2,657,186","2,657,186","3,496","2,653,649",41
,11-Oct,...,"714,468","26,396","683,958","4,114",0,"6,795",0,"2,675,887","2,675,887","5,226","2,670,661",0
,11-Nov,...,"623,322","21,379","601,215",728,0,"4,029",0,"2,544,578","2,544,578","5,270","2,539,308",0
,11-Dec,...,"661,155","24,246","636,694",215,0,"4,628",0,"2,763,540","2,763,540","4,912","2,758,628",0
,12-Jan,...,"548,934","13,435","535,426",73,0,"3,715",0,"2,241,903","2,241,903","6,905","2,234,998",0
,12-Feb,...,"551,432","14,051","537,302",79,0,"2,639",0,"2,313,411","2,313,411","6,700","2,306,711",0
,12-Mar,...,"601,369","15,763","584,846",760,0,"3,823",0,"2,754,527","2,754,527","8,117","2,746,410",0
,12-Apr,...,"642,947","16,306","624,456","2,185",0,"6,510",0,"2,766,693","2,766,693","4,664","2,761,972",57
,12-May,...,"777,890","20,498","728,745","28,647",0,"11,027",0,"2,815,624","2,815,624","3,841","2,810,733","1,050"
,12-Jun,...,"928,272","27,062","831,786","69,424",0,"16,769",0,"2,758,840","2,758,840","3,175","2,753,028","2,637"
,12-Jul,...,"1,092,926","21,188","967,602","104,136",0,"25,971",0,"3,093,861","3,093,861","3,121","3,090,731",9
,12-Aug,...,"1,051,003","21,128","929,682","100,193",0,"26,081",0,"3,246,625","3,246,625","3,458","3,243,158",9
,12-Sep,...,"796,361","17,354","716,127","62,880",0,"19,459",0,"2,816,633","2,816,633","3,079","2,813,550",4
,12-Oct,...,"650,071","18,722","626,545","4,804",0,"11,398",0,"2,689,081","2,689,081","6,676","2,682,405",0
,12-Nov,...,"583,841","14,389","568,386","1,066",0,"6,928",0,"2,615,019","2,615,019","6,840","2,608,179",0
,12-Dec,...,"607,187","16,626","590,278",283,0,"7,380",0,"2,799,163","2,799,163","6,689","2,792,474",0
,13-Jan,...,"546,644","35,887","510,684",73,0,"6,276",0,"2,375,954","2,375,954","6,466","2,369,488",0
,13-Feb,...,"498,684","36,628","462,014",42,0,"4,201",0,"2,263,139","2,263,139","6,316","2,256,823",0
,13-Mar,...,"604,049","45,232","558,622",195,0,"6,531",0,"2,794,021","2,794,021","8,011","2,786,010",0
,13-Apr,...,"618,087","58,371","556,987","2,729",0,"8,043",0,"2,625,210","2,625,210","2,017","2,623,179",14
,13-May,...,"798,321","79,245","676,592","42,484",0,"14,491",0,"2,836,647","2,836,647","1,691","2,833,637","1,319"
,13-Jun,...,"985,456","106,794","790,473","88,189",0,"16,798",0,"2,839,835","2,839,835","1,381","2,835,921","2,533"
,13-Jul,...,"1,095,902","96,364","908,545","90,993",0,"26,133",0,"3,137,274","3,137,274","3,947","3,133,327",0
,13-Aug,...,"1,100,444","89,019","919,529","91,896",0,"27,173",0,"3,260,529","3,260,529","4,446","3,256,083",0
,13-Sep,...,"802,908","70,286","683,046","49,576",0,"17,798",0,"2,731,311","2,731,311","3,923","2,727,388",0
,13-Oct,...,"702,130","57,697","638,683","5,750",0,"10,169",0,"2,683,687","2,683,687","2,409","2,681,278",0
,13-Nov,...,"599,471","45,015","553,491",965,0,"6,288",0,"2,624,536","2,624,536","2,496","2,622,040",0
,13-Dec,...,"605,609","54,339","551,016",254,0,"6,067",0,"2,629,195","2,629,195","2,462","2,626,733",0
,14-Jan,...,"503,421","40,397","462,977",47,0,"5,811",0,"2,176,486","2,176,486","5,016","2,171,470",0
,14-Feb,...,"482,111","40,554","441,495",62,0,"4,120",0,"1,989,851","1,989,851","5,099","1,984,752",0
,14-Mar,...,"560,050","49,374","510,470",206,0,"6,107",0,"2,452,115","2,452,115","6,187","2,445,928",0
,14-Apr,...,"628,325","67,657","557,245","3,423",0,"11,166",0,"2,518,084","2,518,084","2,005","2,516,074",5
,14-May,...,"804,024","93,589","667,924","42,511",0,"25,550",0,"2,713,071","2,713,071","1,804","2,710,038","1,229"
,14-Jun,...,"981,892","124,078","780,762","77,052",0,"23,999",0,"2,689,582","2,689,582","1,428","2,684,998","3,156"
,14-Jul,...,"1,073,282","112,081","887,462","73,739",0,"31,793",0,"2,922,615","2,922,615","3,633","2,918,976",6
,14-Aug,...,"1,094,488","101,591","915,851","77,046",0,"36,060",0,"3,081,777","3,081,777","4,208","3,077,561",8
,14-Sep,...,"785,220","82,254","659,285","43,681",0,"25,887",0,"2,526,116","2,526,116","3,656","2,522,457",3
,14-Oct,...,"698,255","60,979","632,983","4,293",0,"15,127",0,"2,454,942","2,454,942",96,"2,454,846",0
,14-Nov,...,"579,649","45,959","532,405","1,285",0,"6,330",0,"2,291,138","2,291,138",114,"2,291,024",0
,14-Dec,...,"631,514","55,500","575,750",264,0,"6,886",0,"2,394,957","2,394,957",95,"2,394,862",0
,15-Jan,...,"541,506","42,051","499,364",91,0,"5,525",0,"1,862,624","1,862,624","3,041","1,859,583",0
,15-Feb,...,"495,370","43,539","451,659",172,0,"3,578",0,"1,603,824","1,603,824","2,979","1,600,843",2
,15-Mar,...,"589,370","53,399","535,444",527,0,"5,211",0,"1,988,749","1,988,749","3,582","1,985,145",22
,15-Apr,...,"645,210","55,408","582,477","7,325",0,"10,836",0,"1,991,990","1,991,990","2,772","1,989,212",6
,15-May,...,"849,992","75,231","716,942","57,819",0,"22,541",0,"2,231,143","2,231,143","2,247","2,227,909",987
,15-Jun,...,"1,035,560","101,114","839,057","95,389",0,"22,703",0,"2,155,507","2,155,507","1,709","2,152,251","1,547"
,15-Jul,...,"1,171,279","82,983","986,850","101,446",0,"31,342",0,"2,355,426","2,355,426","3,121","2,352,234",71
,15-Aug,...,"1,141,701","75,739","970,023","95,939",0,"34,397",0,"2,261,131","2,261,131","3,558","2,257,558",15
,15-Sep,...,"871,658","58,769","755,302","57,587",0,"24,974",0,"1,857,636","1,857,636","3,136","1,854,491",9
,15-Oct,...,"736,521","49,287","682,180","5,054",0,"14,063",0,"1,842,199","1,842,199",372,"1,841,827",0
,15-Nov,...,"635,033","38,501","594,877","1,655",0,"6,604",0,"1,750,943","1,750,943",425,"1,750,518",0
,15-Dec,...,"675,824","45,565","629,877",382,0,"6,860",0,"1,804,077","1,804,077",359,"1,803,718",0
,16-Jan,...,"608,983","35,364","573,498",121,0,"4,514",0,"1,566,768","1,566,768","3,196","1,563,572",0
,16-Feb,...,"582,510","41,915","540,391",204,0,"3,288",0,"1,346,317","1,346,317","3,191","1,343,126",0
,16-Mar,...,"658,049","48,316","608,478","1,255",0,"6,000",0,"1,672,036","1,672,036","3,823","1,668,213",0
,16-Apr,...,"701,780","58,322","633,269","10,189",0,"8,256",0,"1,726,635","1,726,635","3,915","1,722,124",596
,16-May,...,"892,448","78,197","756,913","57,338",0,"18,411",0,"1,930,996","1,930,996","3,455","1,925,307","2,234"
,16-Jun,...,"1,073,123","108,459","872,951","91,713",0,"19,867",0,"1,901,623","1,901,623","2,742","1,896,224","2,657"
,16-Jul,...,"1,278,296","104,278","1,070,371","103,647",0,"28,197",0,"2,174,978","2,174,978","4,114","2,170,844",20
,16-Aug,...,"1,161,961","89,681","985,919","86,361",0,"32,054",0,"2,228,507","2,228,507","4,790","2,223,617",100
,16-Sep,...,"927,872","76,667","790,641","60,564",0,"20,942",0,"1,886,864","1,886,864","4,074","1,882,785",5
,16-Oct,...,"774,147","57,929","710,354","5,864",0,"13,451",0,"1,861,438","1,861,438","1,052","1,860,386",0
,16-Nov,...,"663,166","44,658","616,509","1,999",0,"6,148",0,"1,670,278","1,670,278",988,"1,669,290",0
,16-Dec,...,"681,250","53,046","627,931",273,0,"6,258",0,"1,735,196","1,735,196",935,"1,734,261",0
,17-Jan,...,"597,931","41,138","556,681",112,0,"5,325",0,"1,576,524","1,576,524","4,815","1,571,709",0
,17-Feb,...,"551,430","41,324","509,833",273,0,"2,993",0,"1,425,852","1,425,852","4,318","1,421,534",0
,17-Mar,...,"619,757","51,961","567,326",470,0,"4,741",0,"1,643,749","1,643,749","5,617","1,638,132",0
,17-Apr,...,"733,540","67,471","656,203","9,866",0,"7,394",0,"1,761,767","1,761,767","4,169","1,757,174",424
,17-May,...,"872,408","83,104","736,754","52,550",0,"15,243",0,"1,764,258","1,764,258","3,267","1,759,627","1,364"
,17-Jun,...,"1,101,209","124,337","881,055","95,817",0,"18,578",0,"1,797,969","1,797,969","3,199","1,793,087","1,683"
,17-Jul,...,"1,294,869","113,299","1,085,788","95,782",0,"22,042",0,"2,128,099","2,128,099","4,936","2,123,157",6
,17-Aug,...,"1,203,594","104,571","1,013,731","85,292",0,"26,380",0,"2,265,169","2,265,169","5,409","2,259,752",8
,17-Sep,...,"953,944","81,942","807,108","64,894",0,"19,868",0,"1,966,755","1,966,755","4,897","1,961,854",4
,17-Oct,...,"765,310","63,857","699,347","2,106",0,"7,643",0,"1,892,175","1,892,175",847,"1,891,328",0
,17-Nov,...,"666,326","51,842","614,329",155,0,"8,172",0,"1,789,210","1,789,210",804,"1,788,406",0
,17-Dec,...,"693,019","53,077","639,925",17,0,"6,063",0,"1,889,959","1,889,959",764,"1,889,195",0
,18-Jan,...,"576,053","44,665","531,330",58,0,"4,106",0,"1,636,190","1,636,190","5,277","1,630,913",0
,18-Feb,...,"543,158","45,253","497,807",98,0,"2,637",0,"1,546,823","1,546,823","5,138","1,541,685",0
,18-Mar,...,"669,056","55,879","612,967",210,0,"4,592",0,"2,003,464","2,003,464","6,342","1,997,118",4
,18-Apr,...,"664,228","70,916","591,386","1,926",0,"6,408",0,"1,894,402","1,894,402","4,690","1,889,393",319
,18-May,...,"820,880","86,805","717,152","16,923",0,"17,114",0,"2,133,717","2,133,717","4,002","2,128,426","1,289"
,18-Jun,...,"1,070,007","127,611","906,218","36,178",0,"17,496",0,"2,040,788","2,040,788","3,330","2,035,659","1,799"
,18-Jul,...,"1,281,341","107,189","1,080,843","93,309",0,"23,787",0,"2,132,595","2,132,595","4,956","2,127,632",7
,18-Aug,...,"1,234,692","100,342","1,037,245","97,105",0,"33,366",0,"2,216,342","2,216,342","5,571","2,210,764",7
,18-Sep,...,"955,530","79,248","807,568","68,714",0,"17,705",0,"1,889,871","1,889,871","5,250","1,884,618",3
,18-Oct,...,"763,655","61,049","700,599","2,007",0,"14,396",0,"1,896,556","1,896,556",913,"1,895,643",0
,18-Nov,...,"665,443","50,108","615,109",226,0,"12,220",0,"1,679,007","1,679,007",861,"1,678,146",0
,18-Dec,...,"728,044","50,779","677,248",17,0,"14,517",0,"1,829,971","1,829,971",850,"1,829,121",0
,19-Jan,...,"559,426","32,223","527,130",73,0,"11,994",0,"1,586,545","1,586,545","113,369","1,473,128",48
,19-Feb,...,"517,882","30,105","487,736",41,0,"11,097",0,"1,505,088","1,505,088","110,419","1,394,630",39
,19-Mar,...,"660,124","40,115","618,889","1,120",0,"14,245",0,"1,990,343","1,990,343","135,675","1,854,570",98
,19-Apr,...,"691,862","46,418","643,684","1,760",0,"20,000",0,"1,958,111","1,958,111","115,726","1,842,143",242
,19-May,...,"860,196","40,465","790,836","28,895",0,"35,644",0,"2,043,702","2,043,702","77,551","1,965,330",821
,19-Jun,...,"1,101,393","63,108","973,757","64,528",0,"39,231",0,"1,978,577","1,978,577","52,698","1,923,757","2,122"
,19-Jul,...,"1,273,789","60,623","1,138,688","74,478",0,"51,332",0,"2,230,614","2,230,614","62,771","2,162,009","5,834"
,19-Aug,...,"1,225,123","45,624","1,120,740","58,759",0,"59,517",0,"2,331,372","2,331,372","65,865","2,256,347","9,160"
,19-Sep,...,"904,723","39,180","819,898","45,645",0,"38,226",0,"1,922,684","1,922,684","59,766","1,859,401","3,517"
,19-Oct,...,"761,927","35,874","723,802","2,251",0,"19,508",0,"1,915,920","1,915,920","78,043","1,837,040",837
,19-Nov,...,"680,257","34,231","645,599",427,0,"14,925",0,"1,784,230","1,784,230","80,692","1,703,413",125
,19-Dec,...,"716,408","34,804","681,465",139,0,"15,536",0,"1,846,609","1,846,609","72,918","1,773,650",41
,20-Jan,...,"580,959","28,669","552,240",50,0,"13,907",0,"1,567,128","1,567,128","89,701","1,477,393",34
,20-Feb,...,"581,324","26,232","555,030",62,0,"11,139",0,"1,622,425","1,622,425","85,105","1,537,269",51
,20-Mar,...,"302,382","15,171","287,153",58,0,"8,404",0,"889,386","889,386","66,859","822,407",120
,20-Apr,...,"41,425","1,160","40,253",12,0,"2,608",0,"109,848","109,848","2,382","107,454",12
,20-May,...,"55,647","1,142","54,479",26,0,"2,671",0,"139,634","139,634","1,772","137,819",43
,20-Jun,...,"69,409","1,584","67,665",160,0,"1,520",0,"170,800","170,800","2,253","168,454",93
,20-Jul,...,"72,954","1,853","70,875",226,0,"1,031",0,"180,503","180,503","2,476","177,825",202
,20-Aug,...,"75,848","2,024","73,654",170,0,"1,183",0,"189,475","189,475","5,163","184,075",237
,20-Sep,...,"76,033","1,895","74,011",127,0,"1,151",0,"195,464","195,464","3,294","191,988",182
,20-Oct,...,"75,787","1,767","73,944",76,0,"1,099",0,"204,827","204,827","6,515","198,224",88
,20-Nov,...,"64,189","1,547","62,607",35,0,997,0,"178,781","178,781","7,939","170,780",62
,20-Dec,...,"65,814","1,675","64,126",13,0,984,0,"186,151","186,151","7,792","178,321",38
,21-Jan,...,"60,156","1,790","58,361",5,0,789,0,"172,953","172,953","9,137","163,785",31
,21-Feb,...,"56,151",887,"55,249",15,0,845,0,"164,157","164,157","4,287","159,823",47
,21-Mar,...,"71,418",817,"70,572",29,0,936,0,"206,146","206,146","3,388","202,704",54
,21-Apr,...,"69,200","1,073","68,055",72,0,949,0,"201,057","201,057","4,372","196,608",77
,21-May,...,"77,562","1,151","76,246",165,0,"1,020",0,"216,754","216,754","5,875","210,707",172
,21-Jun,...,"83,150","1,680","81,289",181,0,"1,388",0,"225,725","225,725","3,514","221,963",248
,21-Jul,...,"85,990","2,333","83,538",119,0,"1,438",0,"230,153","230,153","5,389","224,523",241
,21-Aug,...,"135,251","4,045","131,024",182,0,"1,675",0,"241,471","241,471","6,678","234,691",102
,21-Sep,...,"142,365","4,481","137,690",194,0,"1,947",0,"237,978","237,978","6,891","231,025",62
,21-Oct,...,"146,478","4,265","142,130",83,0,"1,735",0,"247,873","247,873","10,042","237,691",140
,21-Nov,...,"135,880","3,833","132,015",32,0,"2,145",0,"288,457","288,457","11,020","277,375",62
,21-Dec,...,"138,975","3,581","135,341",53,0,"2,429",0,"518,736","518,736","11,828","506,869",39
,22-Jan,...,"83,964","2,873","81,080",11,"1,150",944,6,"260,596","253,958","11,022","242,924",12
,22-Feb,...,"99,005","2,799","96,187",19,"1,191","1,110",12,"260,834","255,626","9,473","246,135",18
,22-Mar,...,"137,610","3,957","133,607",46,"1,346","1,949",20,"396,530","389,978","14,869","375,064",45
,22-Apr,...,"273,435","5,805","256,763","10,867","1,968","4,751",978,"842,080","835,497","16,135","814,715","4,647"
,22-May,...,"410,949","7,991","309,305","93,653","2,500","6,492","8,617","961,088","954,438","15,708","926,163","12,567"
,22-Jun,...,"577,225","18,744","392,562","165,919","3,611","9,462","12,387","991,632","983,878","16,463","955,837","11,578"
,22-Jul,...,"710,236","16,211","488,990","205,035","4,021","14,313","19,256","1,131,872","1,123,005","16,642","1,084,152","22,211"
,22-Aug,...,"659,568","12,322","455,910","191,336","3,747","16,220","16,555","1,191,446","1,186,703","17,326","1,143,914","25,463"
,22-Sep,...,"540,658","11,012","381,378","148,268","3,371","9,686","31,111","1,046,087","1,042,322","17,693","1,001,452","23,177"
,22-Oct,...,"544,051","9,539","483,021","51,491","3,475","11,961","9,470","1,236,666","1,232,950","19,486","1,200,942","12,522"
,22-Nov,...,"416,642","8,522","406,795","1,325","3,132","9,143",369,"1,108,111","1,103,823","24,462","1,074,075","5,286"
,22-Dec,...,"419,074","8,985","409,069","1,020","4,041","8,539",235,"1,109,173","1,097,867","35,385","1,060,155","2,327"
,23-Jan,...,"388,638","6,970","381,219",449,"3,144","8,798",191,"1,080,385","1,074,158","24,004","1,048,420","1,734"
,23-Feb,...,"370,801","6,982","363,432",387,"2,944","6,659",164,"1,035,812","1,029,986","23,263","1,004,864","1,859"
,23-Mar,...,"426,067","7,627","417,635",805,"2,760","8,032",216,"1,253,965","1,247,277","28,180","1,216,294","2,803"
,23-Apr,...,"521,711","9,930","495,184","16,597","3,090","11,827","3,292","1,276,183","1,269,990","24,324","1,238,985","6,681"
,23-May,...,"776,593","14,014","600,020","162,559","3,180","20,597","28,554","1,423,908","1,417,440","19,998","1,355,071","42,371"
,23-Jun,...,"1,025,639","26,950","724,078","274,611","4,426","25,085","31,102","1,442,858","1,433,769","20,617","1,387,082","26,070"
,23-Jul,...,"1,175,637","19,416","877,248","278,973","4,039","32,878","30,246","1,738,566","1,729,240","21,790","1,673,866","33,584"
,23-Aug,...,"1,100,269","15,341","824,282","260,646","3,611","40,736","29,758","1,823,152","1,815,351","17,260","1,755,760","42,331"
,23-Sep,...,"902,041","12,849","666,017","223,175","3,117","27,417","38,954","1,538,084","1,529,385","19,592","1,470,062","39,731"
,23-Oct,...,"650,256","10,901","573,613","65,742","3,588","17,578","11,267","1,488,351","1,480,426","20,208","1,444,017","16,201"
,23-Nov,...,"506,243","8,638","496,321","1,284","2,976","14,984",526,"1,370,039","1,362,556","20,458","1,338,528","3,570"
,23-Dec,...,"577,101","9,116","564,747","3,238","3,183","14,400","1,012","1,460,161","1,450,440","19,527","1,426,906","4,007"
,24-Jan,...,"404,993","7,524","396,918",551,"3,237","9,864",359,"1,211,381","1,199,615","21,697","1,175,791","2,127"
,24-Feb,...,"468,241","7,742","459,758",741,"2,933","9,202",315,"1,294,880","1,284,892","19,974","1,262,112","2,806"
,24-Mar,...,"535,805","8,775","524,571","2,459","3,039","10,678",541,"1,568,349","1,556,258","22,590","1,529,197","4,471"
,24-Apr,...,"596,206","11,565","555,282","29,359","3,471","14,663","7,696","1,495,665","1,484,349","20,792","1,453,036","10,521"
,24-May,...,"884,688","15,868","683,855","184,965","3,290","28,913","35,365","1,665,105","1,654,605","19,970","1,592,682","41,953"
,24-Jun,...,"1,141,314","26,612","833,911","280,791","3,700","34,627","31,423","1,596,350","1,584,525","26,876","1,530,332","27,317"
,24-Jul,...,"1,260,519","19,673","945,056","295,790","3,698","41,253","32,489","1,838,165","1,824,156","31,061","1,762,445","30,650"
,24-Aug,...,"1,225,344","15,425","911,307","298,612","3,748","42,586","36,534","1,968,032","1,953,379","30,711","1,879,058","43,610"
,24-Sep,...,"955,149","15,300","693,678","246,171","3,285","32,211","53,828","1,663,221","1,650,530","29,958","1,578,664","41,908"
,24-Oct,...,"696,357","11,913","623,333","61,111","3,393","21,792","11,768","1,598,619","1,589,648","23,153","1,554,061","12,434"
,24-Nov,...,"595,500","9,470","584,200","1,830","3,088","12,989",453,"1,504,159","1,496,142","17,857","1,474,004","4,281"
,24-Dec,...,"616,522","9,759","604,533","2,230","3,390","14,290",477,"1,506,809","1,495,633","19,096","1,472,402","4,135"
,25-Jan,...,"493,935","8,766","484,773",396,"3,695","9,870",179,"1,270,266","1,260,371","19,154","1,239,887","1,330"
Tourists,Jan-00,...,"576,158","193,838","382,087",233,"154,181","21,366",107,"1,399,847","937,669","466,608","470,781",280
,Feb-00,...,"734,096","230,484","503,460",152,"179,131","19,161",132,"1,373,297","933,472","511,674","421,624",174
,Mar-00,...,"788,426","255,104","533,018",304,"192,660","23,208",185,"1,894,870","1,383,065","617,201","765,507",357
,Apr-00,...,"908,557","256,054","651,173","1,330","255,150","34,864",985,"1,780,779","1,362,891","525,636","835,998","1,257"
,May-00,...,"1,256,883","315,596","899,527","41,760","332,213","46,566","13,283","1,595,521","1,257,535","460,820","776,880","19,835"
,Jun-00,...,"1,843,742","436,876","1,332,341","74,525","458,220","64,950","15,552","1,372,069","1,081,729","354,332","712,246","15,151"
,Jul-00,...,"2,514,257","486,797","1,929,059","98,401","574,950","87,762","15,524","2,074,912","1,731,130","347,612","1,352,378","31,140"
,Aug-00,...,"2,382,133","467,064","1,814,794","100,275","486,980","89,386","15,163","2,233,410","1,800,095","400,634","1,371,073","28,388"
,Sep-00,...,"1,567,783","365,557","1,128,444","73,782","460,666","76,618","17,670","1,564,242","1,229,648","370,952","838,911","19,785"
,Oct-00,...,"1,010,492","305,028","693,762","11,702","287,817","49,296","1,832","1,466,436","1,147,971","446,812","697,576","3,583"
