"International travellers entering or returning to Canada, by type of transportation and traveller type 1",,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,
Table: 24-10-0053-01,,,,,,,,,,,,,,
Release date: 2025-03-21,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Geography,Canada,,,,,,,,,,,,
Traveller type,Reference period,International travellers entering or returning to Canada,United States of America residents entering Canada,"United States of America residents, air","United States of America residents, land","United States of America residents, water","Residents of countries other than the United States of America, air","Residents of countries other than the United States of America, land","Residents of countries other than the United States of America, water",Canadian-resident visitors returning to Canada,Canadian residents returning from the United States of America,"Canadian residents returning from the United States of America, air","Canadian residents returning from the United States of America, land","Canadian residents returning from the United States of America, water"
,11-Mar,"7,512,050","1,143,531","239,546","903,770",215,"187,673","25,206",137,"5,520,578","4,446,929","831,484","3,615,223",222
,11-Apr,"7,672,955","1,322,884","239,970","1,079,854","3,060","253,979","33,447","1,070","5,478,100","4,583,046","769,529","3,811,524","1,993"
,11-May,"8,112,303","1,726,071","327,090","1,318,601","80,380","333,527","51,851","25,448","5,329,477","4,632,761","635,854","3,968,058","28,849"
,11-Jun,"8,271,291","2,362,694","458,160","1,726,438","178,096","451,497","62,930","29,748","4,683,070","4,126,786","481,138","3,626,735","18,913"
,11-Jul,"10,507,511","3,092,497","488,307","2,383,512","220,678","565,931","90,714","26,959","6,068,104","5,410,178","540,945","4,830,954","38,279"
,11-Aug,"10,805,478","2,750,521","429,738","2,116,270","204,513","504,348","91,843","26,899","6,717,658","5,941,109","606,107","5,297,328","37,674"
,11-Sep,"8,289,840","2,004,386","360,545","1,476,419","167,422","419,383","65,996","43,679","5,070,745","4,432,251","535,042","3,868,669","28,540"
,11-Oct,"7,363,583","1,539,196","294,346","1,192,222","52,628","282,589","39,548","10,818","4,886,801","4,297,586","598,754","3,693,317","5,515"
,11-Nov,"6,640,066","1,206,157","236,516","968,814",827,"167,709","23,971",110,"4,674,838","4,096,983","611,568","3,485,119",296
,11-Dec,"7,028,125","1,399,238","264,323","1,134,517",398,"274,979","27,627",120,"4,782,351","4,092,197","587,419","3,504,643",135
,12-Jan,"6,666,842","1,011,258","195,813","815,191",254,"194,874","23,481",231,"4,879,547","3,768,389","734,872","3,033,350",167
,12-Feb,"6,529,774","1,086,661","207,441","879,068",152,"189,821","24,068",97,"4,659,974","3,701,887","714,215","2,987,384",288
,12-Mar,"8,076,235","1,204,701","241,129","962,689",883,"219,507","29,059",129,"5,988,915","4,838,700","877,151","3,961,127",422
,12-Apr,"7,975,366","1,358,810","259,391","1,094,894","4,525","254,524","32,135","1,698","5,724,399","4,778,448","784,211","3,992,125","2,112"
,12-May,"8,201,085","1,773,546","327,227","1,366,019","80,300","332,522","51,125","24,380","5,328,128","4,629,794","620,651","3,973,653","35,490"
,12-Jun,"8,657,372","2,460,785","460,220","1,803,849","196,716","458,091","65,915","27,884","4,936,505","4,341,499","488,233","3,826,797","26,469"
,12-Jul,"10,590,922","2,937,103","481,084","2,243,506","212,513","549,771","101,885","27,111","6,299,171","5,618,172","535,594","5,043,808","38,770"
,12-Aug,"11,261,481","2,904,385","459,300","2,236,339","208,746","494,058","100,013","27,220","7,002,748","6,191,508","607,054","5,545,058","39,396"
,12-Sep,"8,579,873","1,956,234","358,751","1,421,451","176,032","395,458","75,396","46,960","5,428,020","4,758,845","530,272","4,193,684","34,889"
,12-Oct,"7,471,653","1,479,563","307,610","1,119,636","52,317","282,427","46,787","9,671","5,011,008","4,409,895","616,491","3,785,650","7,754"
,12-Nov,"6,825,006","1,180,601","228,422","951,009","1,170","171,569","28,621",292,"4,868,502","4,264,886","625,507","3,639,033",346
,12-Dec,"7,246,299","1,365,536","285,748","1,079,429",359,"280,128","31,703",152,"5,051,731","4,306,702","620,434","3,686,079",189
,13-Jan,"6,799,945","1,002,423","198,202","804,093",128,"186,506","26,387",65,"5,006,112","3,954,853","747,132","3,207,616",105
,13-Feb,"6,428,014","1,002,375","202,533","799,720",122,"195,457","24,494",510,"4,660,669","3,754,001","730,297","3,023,509",195
,13-Mar,"8,370,101","1,242,520","248,748","993,400",372,"229,315","31,769",166,"6,253,761","5,112,463","912,066","4,199,869",528
,13-Apr,"7,714,408","1,222,123","255,990","961,648","4,485","243,234","34,057",794,"5,592,842","4,646,596","828,344","3,816,388","1,864"
,13-May,"8,386,692","1,764,126","347,838","1,325,070","91,218","348,007","54,805","22,565","5,497,336","4,784,190","656,710","4,097,354","30,126"
,13-Jun,"8,782,859","2,410,134","485,499","1,732,431","192,204","463,693","68,647","29,858","5,119,513","4,522,572","512,186","3,982,804","27,582"
,13-Jul,"10,584,985","2,928,974","529,889","2,182,614","216,471","569,826","89,101","26,934","6,286,640","5,601,165","563,933","4,996,742","40,490"
,13-Aug,"11,497,709","2,982,504","493,849","2,267,487","221,168","544,155","100,389","32,204","7,121,378","6,276,556","641,450","5,588,038","47,068"
,13-Sep,"8,399,893","1,869,616","384,289","1,329,490","155,837","420,219","72,184","42,527","5,325,054","4,647,280","559,831","4,047,781","39,668"
,13-Oct,"7,528,478","1,510,038","315,637","1,146,773","47,628","284,607","49,065","7,639","5,037,365","4,423,256","633,441","3,784,829","4,986"
,13-Nov,"6,874,619","1,184,933","239,724","944,143","1,066","178,526","30,064",281,"4,912,469","4,259,030","662,978","3,595,742",310
,13-Dec,"7,143,218","1,315,563","293,521","1,021,564",478,"292,351","30,784",501,"4,984,693","4,226,369","654,290","3,571,908",171
,14-Jan,"6,631,276","953,524","201,965","751,461",98,"208,763","26,824",74,"4,883,691","3,761,567","760,867","3,000,522",178
,14-Feb,"6,154,845","965,268","206,159","758,998",111,"198,920","23,834",77,"4,428,838","3,460,438","769,379","2,690,902",157
,14-Mar,"7,835,129","1,113,080","252,290","860,447",343,"211,400","31,021",173,"5,870,033","4,653,998","940,687","3,713,016",295
,14-Apr,"7,777,514","1,291,033","277,585","1,008,496","4,952","280,837","42,245","1,220","5,561,387","4,568,679","814,538","3,752,588","1,553"
,14-May,"8,418,346","1,796,721","387,360","1,314,752","94,609","368,405","72,650","27,168","5,475,163","4,661,694","695,485","3,933,264","32,945"
,14-Jun,"8,788,993","2,384,427","533,777","1,684,279","166,371","506,218","83,334","30,337","5,089,000","4,415,870","530,751","3,858,520","26,599"
,14-Jul,"10,405,266","2,914,109","580,605","2,149,652","183,852","636,637","107,586","29,232","6,014,635","5,256,929","557,238","4,664,281","35,410"
,14-Aug,"11,507,879","2,984,275","524,644","2,260,002","199,629","612,393","120,911","32,540","7,058,564","6,107,315","651,906","5,410,680","44,729"
,14-Sep,"8,213,823","1,859,587","413,045","1,288,477","158,065","455,347","92,185","47,914","5,070,167","4,330,689","566,026","3,728,497","36,166"
,14-Oct,"7,447,029","1,561,984","344,274","1,164,490","53,220","320,972","60,602","8,377","4,854,715","4,164,134","649,840","3,505,182","9,112"
,14-Nov,"6,604,874","1,144,248","254,339","888,486","1,423","194,937","30,074",747,"4,696,694","3,952,744","675,339","3,276,131","1,274"
,14-Dec,"7,004,020","1,377,156","314,794","1,061,954",408,"316,772","31,664",212,"4,734,000","3,890,368","664,571","3,225,672",125
,15-Jan,"6,453,817","1,018,877","215,393","803,338",146,"214,228","26,948",74,"4,646,733","3,429,575","799,317","2,630,092",166
